Nombre_Empresa_clean,Fecha,pasajeros
HELICOL,2020-06-01,3648
AEROREPUBLICA,2020-02-01,620703
AIR FRANCE,2020-01-01,29544
INTERJET,2017-01-03,14960
TAERCO,2017-01-07,125
DHL AERO EXPRESO,2017-01-09,0
VIVA AIR,2019-06-01,373005
LOS HALCONES,2019-03-01,122
TAC,2014-10-01,4745
AERO TAXI GUAYMARAL,2014-05-01,156
SAER,2015-12-01,526
LUFTHANSA,2015-05-01,13801
ABSA,2015-02-01,0
SAE,2020-11-01,204
SAE,2021-08-01,246
VIVA AIR PERU,2022-08-01,18791
AEROGAL,2020-12-01,38973
SAER,2021-12-01,112
AMERICAN,2021-01-01,181709
AVIANLINE CHARTE´S S.A.S.,2020-08-01,456
CHARTER DEL CARIBE S.A.,2020-03-01,27
DELTA,2020-03-01,45603
GOOD FLY CO SAS,2021-03-01,218
RIO SUR,2021-03-01,106
HELICOL,2021-07-01,3255
AEROCOL S.A.S,2020-02-01,99
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2017-01-05,916
SOLAIR S.A.S,2017-01-04,90
AMERICA´S AIR SAS,2017-01-02,273
AIR PANAMA,2017-01-11,6611
HELICOL,2019-01-01,5398
AMERICA´S AIR SAS,2014-12-01,438
IBERIA,2014-07-01,17881
SELVA,2014-08-01,0
SAER,2015-08-01,94
AER CARIBE,2015-11-01,64
AEROLINEAS ARGENTINAS,2015-05-01,7371
AVIANCA,2015-04-01,1371043
LÍNEA AÉREA CARGUERA DE COLOMBIA S.A.,2015-07-01,0
AIR CANADA,2021-04-01,0
LUFTHANSA,2021-08-01,7655
LAS,2021-08-01,0
SAE,2020-07-01,190
SARPA S.A.S,2020-07-01,0
TAERCO,2020-02-01,225
ABSA,2020-03-01,0
COPA,2022-02-01,131590
SEARCA S.A.,2021-06-01,9876
AVIANCA,2021-07-01,895851
ALIANSA,2021-06-01,934
AEROSUCRE,2017-01-08,0
ABSA,2017-01-05,0
"AVIOR AIRLINES,C.A.",2017-01-01,11908
RIO SUR,2017-01-03,45
OCEANAIR,2017-01-12,6881
AEROREPUBLICA,2017-01-11,229920
VENSECAR C.A.,2017-01-10,0
SEARCA S.A.,2017-01-10,9563
JETCOM SA,2019-06-01,26
AERO APOYO,2014-09-01,397
HELI JET SAS,2014-03-01,54
TAXCO,2014-12-01,89
INTERJET,2014-09-01,5517
TAMPA CARGO,2014-12-01,0
AEROEJECUTIVOS DE ANTIOQUIA S.A.,2015-07-01,365
SOLAIR S.A.S,2015-06-01,119
AMERICAN,2015-05-01,34395
CARGOLUX AIRLINES INTERNATIONAL S.A.,2015-04-01,0
TACA INTERNATIONAL,2015-07-01,27203
SAE,2020-08-01,514
AERUPIA SAS,2020-06-01,30
TAERCO,2020-10-01,189
AERO LLANOS DEL ORIENTE,2020-05-01,6
LAS,2020-06-01,0
AERO TAXI GUAYMARAL,2021-02-01,30
SAE,2020-01-01,126
